Title==>,"{""At7"": ""V-G1""}"
屬性,,Gain(A)
結論,0.6500224216483541,
At2,0.5408520829727552,0.10917033867559889
At5,0.5408520829727552,0.10917033867559889
At1,0.5408520829727552,0.10917033867559889
At4,0.5408520829727552,0.10917033867559889
At6,0.5408520829727552,0.10917033867559889
At3,0.5408520829727552,0.10917033867559889
Title==>,"{""At7"": ""V-G2""}"
屬性,,Gain(A)
結論,0.7219280948873623,
At2,0.7219280948873623,0.0
At5,0.7219280948873623,0.0
At1,0.7219280948873623,0.0
At4,0.7219280948873623,0.0
At6,0.7219280948873623,0.0
At3,0.7219280948873623,0.0
Title==>,"{""At7"": ""V-G4""}"
屬性,,Gain(A)
結論,1.3709505944546687,
At2,0.9509775004326937,0.419973094021975
At5,0.9509775004326937,0.419973094021975
At1,0.9509775004326937,0.419973094021975
At4,0.9509775004326937,0.419973094021975
At6,0.9509775004326937,0.419973094021975
At3,0.9509775004326937,0.419973094021975
Title==>,{}
屬性,,Gain(A)
結論,2.141787664262568,
At7,0.6840251417428704,1.4577625225196975
At2,0.9425330430704534,1.1992546211921145
At5,0.9425330430704534,1.1992546211921145
At1,0.9425330430704534,1.1992546211921145
At4,1.0795730696693857,1.0622145945931822
At6,1.1680630958562288,0.9737245684063391
At3,1.2310102568868084,0.9107774073757595
