ID,A,B,C,D,Class,Deep,Support,Reliability,Class Distribution,Simplicity
R1,陰天,涼爽,,,好,2,1,1.0000,"0,1",0.50
R2,晴朗,涼爽,,,好,2,1,1.0000,"0,1",0.50
R3,陰天,適中,,,好,2,1,1.0000,"0,1",0.50
R4,陰天,炎熱,高,,好,3,1,1.0000,"0,1",0.33
R5,晴朗,適中,高,,不好,3,1,1.0000,"1,0",0.33
R6,雨天,適中,正常,,好,3,1,1.0000,"0,1",0.33
R7,晴朗,適中,正常,,好,3,1,1.0000,"0,1",0.33
R8,陰天,炎熱,正常,,好,3,1,1.0000,"0,1",0.33
R9,晴朗,炎熱,高,無,不好,4,1,1.0000,"1,0",0.25
R10,晴朗,炎熱,高,有,不好,4,1,1.0000,"1,0",0.25
R11,雨天,適中,高,無,好,4,1,1.0000,"0,1",0.25
R12,雨天,涼爽,正常,無,好,4,1,1.0000,"0,1",0.25
R13,雨天,涼爽,正常,有,不好,4,1,1.0000,"1,0",0.25
R14,雨天,適中,高,有,不好,4,1,1.0000,"1,0",0.25
,,,,,,,1.0000,1.0000,,4.6667
