,subset,attributes,,GainA
0,{'天氣': '晴朗'},,,
1,,結論,1.3709505944546687,
2,,濕度,0.4,0.9709505944546687
3,,氣溫,0.4,0.9709505944546687
4,,風,0.9509775004326937,0.419973094021975
5,{'天氣': '雨天'},,,
6,,結論,1.5219280948873621,
7,,濕度,0.9509775004326937,0.5709505944546684
8,,風,0.9509775004326937,0.5709505944546684
9,,氣溫,1.3509775004326936,0.17095059445466854
,subset,attributes,,GainA
,subset,attributes,,GainA
0,"{'天氣': '晴朗', '濕度': '正常'}",,,
1,,結論,1.0,
2,,氣溫,0.0,1.0
3,,風,0.0,1.0
,subset,attributes,,GainA
,subset,attributes,,GainA
,subset,attributes,,GainA
0,"{'天氣': '雨天', '濕度': '正常'}",,,
1,,結論,0.9182958340544896,
2,,風,0.0,0.9182958340544896
3,,氣溫,0.6666666666666666,0.2516291673878229
4,"{'天氣': '雨天', '濕度': '高'}",,,
5,,結論,1.0,
6,,風,0.0,1.0
7,,氣溫,1.0,0.0
,subset,attributes,,GainA
0,{'天氣': '晴朗'},,,
1,,結論,1.3709505944546687,
2,,濕度,0.4,0.9709505944546687
3,,氣溫,0.4,0.9709505944546687
4,,風,0.9509775004326937,0.419973094021975
5,{'天氣': '雨天'},,,
6,,結論,1.5219280948873621,
7,,濕度,0.9509775004326937,0.5709505944546684
8,,風,0.9509775004326937,0.5709505944546684
9,,氣溫,1.3509775004326936,0.17095059445466854
"{'天氣': '晴朗', '濕度': '正常'}",,,
,結論,1.0,
,氣溫,0.0,1.0
,風,0.0,1.0
"{'天氣': '雨天', '濕度': '正常'}",,,
,結論,0.9182958340544896,
,風,0.0,0.9182958340544896
,氣溫,0.6666666666666666,0.2516291673878229
"{'天氣': '雨天', '濕度': '高'}",,,
,結論,1.0,
,風,0.0,1.0
,氣溫,1.0,0.0
{'天氣': '晴朗'},,,
,結論,1.3709505944546687,
,濕度,0.4,0.9709505944546687
,氣溫,0.4,0.9709505944546687
,風,0.9509775004326937,0.419973094021975
{'天氣': '雨天'},,,
,結論,1.5219280948873621,
,濕度,0.9509775004326937,0.5709505944546684
,風,0.9509775004326937,0.5709505944546684
,氣溫,1.3509775004326936,0.17095059445466854
,subset,attributes,,GainA
,subset,attributes,,GainA
0,"{'天氣': '晴朗', '濕度': '正常'}",,,
1,,結論,1.0,
2,,氣溫,0.0,1.0
3,,風,0.0,1.0
,subset,attributes,,GainA
,subset,attributes,,GainA
,subset,attributes,,GainA
0,"{'天氣': '雨天', '濕度': '正常'}",,,
1,,結論,0.9182958340544896,
2,,風,0.0,0.9182958340544896
3,,氣溫,0.6666666666666666,0.2516291673878229
4,"{'天氣': '雨天', '濕度': '高'}",,,
5,,結論,1.0,
6,,風,0.0,1.0
7,,氣溫,1.0,0.0
,subset,attributes,,GainA
0,{'天氣': '晴朗'},,,
1,,結論,1.3709505944546687,
2,,濕度,0.4,0.9709505944546687
3,,氣溫,0.4,0.9709505944546687
4,,風,0.9509775004326937,0.419973094021975
5,{'天氣': '雨天'},,,
6,,結論,1.5219280948873621,
7,,濕度,0.9509775004326937,0.5709505944546684
8,,風,0.9509775004326937,0.5709505944546684
9,,氣溫,1.3509775004326936,0.17095059445466854
